,author,author_email,id,isopen,license_id,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,name,notes,num_resources,num_tags,owner_org,private,revision_id,state,title,type,url,version
704,"Civic Impulse, LLC",operations@govtrack.us,d4634b63-2376-479d-989f-f58daf204e3e,True,other-pd,Other (Public Domain),,,,2009-03-18T13:51:07.259820,2013-10-10T21:07:02.239408,govtrack,"U.S. Congress data including all Members of Congress since the beginning of the United States, legislative data including bills, sponsorship, roll call votes since around 1990.",4,13,c84aa5a6-3dbb-41cd-bd45-ff45c8297090,False,d30d4ff3-aeb9-4781-a9b8-58ec1e076022,active,GovTrack.us U.S Congress Legislative Data,dataset,http://www.govtrack.us,
705,GovWild.org,team@govwild.org,84cf4c9e-dcfa-4250-b7c6-93b448787f29,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,,,2011-03-03T13:03:03.937681,2013-10-10T21:07:01.923534,government-web-integration-for-linked-data,"GovWILD integrates Open Government Data about politicians, parties, government agencies, funds, companies, and industrial leaders into a clean and consistent data set. This interlinked data is visualized on a Web interface to be explored by citizens and is available for download and further analysis. It can be used to uncover hidden connections between individuals in government and industry, to aggregate financial data, and to deep-dive into the network of politics and industry.",6,7,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,652f6169-d14d-4cef-9ff2-0be409e723d1,active,GovWILD - Government Web Integration for Linked Data,dataset,http://govwild.hpi-web.de/project/govwild-sources.html,
706,Christophe Guéret,c.d.m.gueret@vu.nl,c3f8e216-2401-457e-b401-0f66fad79619,True,other-open,Other (Open),,Christophe Guéret,c.d.m.gueret@vu.nl,2011-03-25T09:57:59.858308,2013-10-10T21:06:48.378001,googleart-wrapper,"The GoogleArtProject is a place to explore museums from around the world, seeing and learning about the artwork they contain. It is a cool service, offering very high res images of the paintings, but not providing a machine-friendly access to the data shown. This server provides a wrapper around the HTML page for paintings and museums. It exposes part of the information using FOAF and Dublin Core ontologies and links the resource to DBpedia",5,13,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,59957f98-4746-4f57-8c17-818b04d83ac7,active,GoogleArt wrapper,dataset,http://linkeddata.few.vu.nl/googleart/,0.1
707,,,15a07acf-de30-468d-b5ad-c4931a2b3092,False,notspecified,License not specified,,,,2009-10-27T19:01:50.143198,2013-10-10T21:06:42.773717,go_annotations_from_ncbi_and_ebi,"Data exposed: GO annotations from National Center for Biotechnology Information (NCBI) and European Bioinformatics Institute (EBI)
Size of dump and data set: 73 MB

### Openness

Derived from EBI and NCBI.

[EBI terms of use](http://www.ebi.ac.uk/Information/termsofuse.html) page states:

> The public databases of the EBI are freely available by any individual and for any purpose.

[NCBI Copyright and Disclaimers](http://www.ncbi.nlm.nih.gov/About/disclaimer.html) page states:

> Information that is created by or for the US government on this site is within the public domain. Public domain information on the National Library of Medicine (NLM) Web pages may be freely distributed and copied. However, it is requested that in any subsequent use of this work, NLM be given appropriate acknowledgment.",1,8,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,229d81d9-9eba-420c-8026-9ec6900047b2,active,GO annotations from National Center for Biotechnology Information (NCBI) and European Bioinformatics Institute (EBI),dataset,,
708,,,aa6b19fd-f548-462a-ac76-7f4475d3a799,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2011-06-15T16:13:25.420499,2013-10-10T21:06:15.515401,glastonbury-2011,This has been screen scraped from the Glastonbury website.,3,12,94d03217-717d-41ce-a20c-00e754e94183,False,a57cf5d3-4ded-4dfd-ac38-a687aa7e0622,active,Glastonbury 2011 Programme,dataset,http://programme.ecs.soton.ac.uk/glastonbury/2011/,
709,International Food Policy Research Institute,ifpri@cgiar.org,f16c674e-be4e-4b17-aacc-c2c9192a619a,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Tim Davies,tim@practicalparticipation.co.uk,2011-10-29T12:03:18.253578,2013-10-10T21:06:15.515401,global-hunger-index-2011,"The Global Hunger Index (GHI) offers a useful multidimensional overview of global hunger. The 2011 GHI is the sixth in an annual series that records the state of global, regional, and national hunger.

The GHI captures three dimensions of hunger: insufficient availability of calories, shortfalls in the nutritional status of children, and child mortality. Accordingly, the Index includes the following three equally weighted indicators: the proportion of people who are undernourished, as estimated by the Food and Agriculture Organization of the United Nations (FAO); the prevalence of underweight in children under the age of five, as compiled by the World Health Organization (WHO); and the under-five mortality rate, as reported by the United Nations Children’s Fund (UNICEF). The 2011 index includes GHI values for four time periods, recalculated using the latest source data, to allow an exploration of change over time. ",3,10,94d03217-717d-41ce-a20c-00e754e94183,False,a57cf5d3-4ded-4dfd-ac38-a687aa7e0622,active,Global Hunger Index (2011),dataset,http://www.ifpri.org/publication/2011-global-hunger-index,
710,Wolters Kluwer Deutschland GmbH,cdirschl@wolterskluwer.de,7c34b2d2-a5f1-4942-8fc7-153de6b5821e,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Semantic Web Company,office@semantic-web.at,2012-11-23T16:29:46.962495,2013-10-10T21:03:54.248157,german-labor-law-thesaurus,"Labor law thesaurus covers all main areas of labor law, like the roles of employee and employer; legal aspects around labor contracts and dismissal; also co-determination and industrial action. Therefore, this thesaurus is interesting and relevant for all parties, who are dealing with labor law – professionals like specialized lawyers as well as for employees looking for definitions of legal terms. Linking to thematically similar thesauri (Linked Open Data paradigm) has already taken place and is therefore available as well. Thesauri are linked with

*   Standard Thesaurus für Wirtschaft, ZBW (zbw.eu/stw/)
*   Wikipedia / DBpedia
*   TheSoz from Leibniz Gesellschaft für Sozialwissenschaften (www.gesis.org)
*    EuroVoc - Multilingual Thesaurus of the European Union
",5,12,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,a2abb075-9375-4178-9983-d3ba214196fa,active,German labor law thesaurus,dataset,http://vocabulary.wolterskluwer.de/,0.1
711,Fausto Giunchiglia,http://disi.unitn.it/~fausto/,5181ad7d-816d-4f5e-b163-a5d1030fdcad,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Aliaksandr Autayeu,http://autayeu.com,2011-04-06T06:27:56.396513,2013-10-10T21:03:53.291134,geowordnet,"GeoWordNet is a semantic resource built from the full integration of WordNet, GeoNames and the Italian part of MultiWordNet.

GeoWordNet Public Dataset contains 3,698,238 entities, 3,698,237 part-of relations between entities, 334 concepts, 182 relations between concepts, 3,698,238 relations between instances and concepts, and 13,562 (English and Italian) alternative entity names.

CC-BY licence, please refer to 
Giunchiglia, Fausto and Maltese, Vincenzo and Farazi, Feroz and Dutta, Biswanath. GeoWordNet: A Resource for Geo-spatial Applications. Technical Report DIT-09-071, Department of Information Engineering and Computer Science, University of Trento. In Proc. of 7th Extended Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, pp. 121-136.",7,21,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,d88d3fdb-0f1c-4c4c-b13f-cb7bd3c065d3,active,GeoWordNet,dataset,http://geowordnet.semanticmatching.org/,20110330
712,Bernard Vatant,bernard.vatant@mondeca.com,97035ce3-a59b-4da1-8e6a-0f287c8298cb,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2010-08-26T14:30:35.228257,2013-10-10T21:03:35.672353,geonames-semantic-web,"The GeoNames Ontology makes it possible to add geospatial semantic information to the Word Wide Web. All over 6.2 million geonames toponyms now have a unique URL with a corresponding RDF web service. Other services describe the relation between toponyms.

SPARQL endpoints for this data are made available by third parties. [Geonames at Kasabi](http://kasabi.com/dataset/geonames/), and [FactForge](http://factforge.net/sparql) has it loaded as well.",4,13,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,6622052c-4588-4c75-81e3-2ac5be86b277,active,GeoNames Semantic Web,dataset,http://www.geonames.org/ontology/,2010-06 (2.1)
713,Thesaurus Editorial Team,thesaurus@geologie.ac.at,e2834b0a-6b53-4e02-bcc3-8de775c2c404,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Marcus Ebner,thesaurus@geologie.ac.at,2011-10-12T13:51:19.625827,2013-10-10T21:03:34.943493,geological-survey-of-austria-thesaurus,"The Thesaurus of the Geological Survey of Austria is a bilingual (de/en) controlled vocabulary for the semantic harmonisation of geoscientific map-based geodata. Currently there are four thematic subjects available : 

* lithology
* geologic timescale
* geologic units
* tectonic units & classification",20,11,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,a94401e1-ee78-4298-804b-febcc9ae6ffa,active,Geological Survey of Austria (GBA) - Thesaurus,dataset,http://resource.geolba.ac.at/,beta
714,"Ontology Engineering Group, Facultad de Informática, Universidad Politécnica de Madrid.",admin_linkeddata@delicias.dia.fi.upm.es,80c5f770-34ac-4fd8-8fa7-72a603b4800d,False,notspecified,License not specified,,GeoLinkedData Team,admin_linkeddata@delicias.dia.fi.upm.es,2010-07-23T18:44:43.181416,2013-10-10T21:03:34.447464,geolinkeddata,GeoLinkedData (.es) is an open initiative whose aim is to enrich the Web of Data with Spanish geospatial data. This initiative started off by publishing diverse information sources belonging to the National Geographic Institute of Spain. Such sources are made available as RDF (Resource Description Framework) knowledge bases according to the Linked Data principles. These data are interlinked with other knowledge bases belonging to the Linking Open Data Initiative.,4,13,746c2cd6-5c48-4e0a-9a5a-fda4f9f0a8bb,False,070895a8-536e-4179-a0f6-8970d22d994f,active,GeoLinkedData,dataset,http://geo.linkeddata.es/,2010-08
715,The Stationery Office Limited,customer.services@tso.co.uk,56fde70e-0746-4608-8450-4ba3e28d40bb,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2011-07-19T14:00:20.441344,2013-10-10T21:03:22.458252,geographic-openuplabs,"The Geographic data is provided by Ordnance Survey, Great Britain's national mapping agency. This dataset contains the up-to-date geographic data, relied on by government, business and individuals.

More Information about this geographic data can be found at http://data.ordnancesurvey.co.uk/",2,9,94d03217-717d-41ce-a20c-00e754e94183,False,9e6509e2-027d-4db9-8da7-894dfcfcde70,active,OpenUpLabs Geographic,dataset,http://openuplabs.tso.co.uk/datasets/os-geo,
716,European Environment Agency,gemet@eea.europa.eu,d0df16b3-5c44-4cba-b61f-7c74cd65c139,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Søren Roug,soren.roug@eea.europa.eu,2008-03-12T22:54:58,2013-10-10T21:03:05.497024,gemet,"### About

A thesaurus in 20+ languages for terms related to the environment and environmental data. Published by the European Environment Agency.

Available in RDF without reuse constraints. 

### Openness

 No explicit information found.",5,13,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,e44e18bc-9e10-4352-bac7-207867e35e26,active,GEneral Multilingual Environmental Thesaurus,dataset,http://www.eionet.europa.eu/gemet/,
717,GNOSS Team,gnoss@gnoss.com,9aeeb788-35c9-4c59-909e-a5e740ba6a9e,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,GNOSS Team,gnoss@gnoss.com,2012-08-14T11:47:41.492047,2013-10-10T21:01:14.618444,garnicaplywood,"<p>
<a href=""http://www.garnicaplywood.com/"">Garnica Plywood</a>
 is the first international poplar plywood manufacturer in terms of volume (and combinations with other tropical species). The company owns 4 factories in Spain and 1 in France, with more than 500 employees, and the annual production capacity exceeds 200,000m3 plywood. The group offers the widest product range in the market with over 2000 references,  present in different areas such as Marine, Caravan, Construction, Furniture, Decoration, Toys, etc., produced under the most demanding international quality labels. Garnica Plywood exports 80% of the total production to more than 25 countries in the world.
</p>
<p>
Garnica Plywood’s LOD project works with
<a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets.
<a href=""http://products.garnicaplywood.com/comunidad/garnicacatalogo"">Garnica offers a product catalogue</a>
with a facet-based search engine and enriched contexts. Both are developments by GNOSS. The catalogue has 42 products (November 2012).
</p>

<p>
<a href=""http://www.garnicaplywood.com/"">Garnica Plywood</a>
es el primer productor internacional de tablero contrachapado de chopo (y combinaciones con especies tropicales). La compañía consta de 4 fábricas en España y 1 en Francia, con más de 500 empleados, y una capacidad productiva anual superior a los 200,000m3 de contrachapado. El grupo ofrece la mayor gama del mercado con más de 2000 referencias, presentes en sectores como Náutica, Caravana, Construcción, Mobiliario, Decoración, Juguetes, etc., producidos con los certificados internacionales de calidad más exigentes. Garnica Plywood exporta el 80% de su producción a más de 25 países del mundo.
</p>
<p>
El proyecto de Garnica Plywood en la Web de los Datos trabaja con
<a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. Garnica ofrece en este caso
<a href=""http://products.garnicaplywood.com/"">un catálogo de productos</a>
con un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS. El catálogo incluye 42 productos (Noviembre 2012).
</p>",5,34,a2434aea-f477-4f92-8f84-78090a9188f8,False,994b833a-0265-4b41-9c61-fe659250aa2f,active,Garnica Plywood Catalogue,dataset,http://products.garnicaplywood.com/comunidad/garnicacatalogo,1.0.
718,,,c7aee6ac-164d-4e9f-bb0b-9777fedf675f,False,65,65,,,,2009-10-27T19:01:48.845729,2013-10-10T21:01:01.378064,galen_from_co-odeorg,"Data exposed: Galen from co-ode.org

Size of dump and data set: 1.9 MB

Notes: released without contract

### Openness: ?

No license specified on home page though generic (restrictive) copyright provisions linked at bottom of page.",1,8,c3f1de76-2bdb-459c-9eb8-a124806875da,False,df1a2366-c3f9-4f3c-8f3b-14da0f70361a,active,Galen from co-ode.org,dataset,http://www.co-ode.org/galen/,
719,Anja Jentzsch,anja@anjeve.de,5bd56fae-3d2a-4dd9-bdcf-8a3451ec81f1,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Anja Jentzsch,anja@anjeve.de,2010-08-03T10:43:27.525137,2013-10-10T20:59:59.152018,fu-berlin-stitch,"Linked Data version of STITCH which contains information on chemicals and proteins as well as their interactions and links. The links were derived from experiments, databases and the literature. STITCH contains interactions for over 68,000 chemicals and over 1.5 million proteins in 373 species.",2,8,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,cb4cd1bb-b578-4d43-90a2-2ff957f6c878,active,STITCH: Chemical-Protein Interactions,dataset,http://www4.wiwiss.fu-berlin.de/stitch/,
720,Anja Jentzsch,anja@anjeve.de,1497cd2f-2b40-44c0-ab41-2d88ef7567fc,False,notspecified,License not specified,,Anja Jentzsch,anja@anjeve.de,2010-08-03T10:57:17.746443,2013-10-10T20:59:58.882736,fu-berlin-sider,"The Linked Data version of SIDER which contains information on marketed drugs and their adverse effects. The information is extracted from public documents and package inserts.

Licensing

The data is available under a mix of Creative Commons Zero and Creative SA-BY-NC.",3,8,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,af994924-5047-4756-abb8-928fcbecacbd,active,SIDER: Side Effect Resource,dataset,http://www4.wiwiss.fu-berlin.de/sider/,
721,Christian Bizer,chris@bizer.de,e18d7ae3-df90-4d4b-ac9e-ebc9ddee7860,False,notspecified,License not specified,,,,2010-09-01T09:53:44.096970,2013-10-10T20:59:58.603716,fu-berlin-project-gutenberg,"Metadata about public domain works available at Project Gutenberg.

Data last updated in 2007.",2,10,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,695b6f10-f8b0-4e64-a917-f318ad37dd4c,active,Project Gutenberg in RDF (FU Berlin),dataset,http://www4.wiwiss.fu-berlin.de/gutendata/,
722,Anja Jentzsch,anja@anjeve.de,e758b8bc-8f43-4c0b-813c-8c858d6eaea2,False,notspecified,License not specified,,,,2010-09-01T09:38:39.542236,2013-10-10T20:59:58.395289,fu-berlin-medicare,,3,8,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,03d43785-35f3-4e06-904a-3efb925a77a0,active,MediCare,dataset,http://www4.wiwiss.fu-berlin.de/medicare/,
723,Christian Bizer,chris@bizer.de,eea1b42d-b63c-4035-8fac-f178bf160336,True,other-open,Other (Open),,,,2010-08-31T10:15:51.268112,2013-10-10T20:59:58.169363,fu-berlin-eurostat,"This dataset contains several statistical indicators for European countries and NUTS Level-2 Regions (NUTS: Nomenclature of Territorial Units for Statistics). Most statistical data are time series, therefore only the latest availabe value is provided here.

### Issues

Date of extraction: 06-14-2007; hence this dataset is seriously outdated.

links:ontologycentral-eurostat: 424",3,10,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,f82c7cc0-f20a-4e5b-a8ab-4e86c40b181d,active,Eurostat in RDF (FU Berlin),dataset,http://www4.wiwiss.fu-berlin.de/eurostat/,2007-06-14
724,Anja Jentzsch,anja@anjeve.de,b92f7c88-c0e6-455e-a485-c0527bff1347,False,,,,,,2011-07-18T15:49:23.191987,2013-10-10T20:59:57.948305,fu-berlin-eures,"EURES (European Employment Services) is a cooperation network designed to facilitate the free movement of workers within the European Economic Area (Switzerland is also involved). It publishes Job vacancies in 31 European countries. Partners in the network include public employment services, trade union and employers' organisations. The network is coordinated by the European Commission.",2,8,e79ff1a6-ab76-4cb3-9cc1-29b3eabad173,False,83cbda2d-a408-4c2c-9213-2e099c4ff9b6,active,European Employment Services (EURES),dataset,http://www4.wiwiss.fu-berlin.de/eures/,
725,Anja Jentzsch,anja@anjeve.de,cf76da3f-e602-4d80-bcea-449e5e8bc80d,False,,,,,,2012-01-09T14:35:05.242109,2013-10-10T20:59:57.726190,fu-berlin-euraxess,"EURAXESS Jobs is a website for research job vacancies, funding opportunities and fellowships throughout Europe.",2,6,e79ff1a6-ab76-4cb3-9cc1-29b3eabad173,False,0ba27d73-9167-43c8-9192-b3131731eb70,active,EURAXESS - Researchers in Motion,dataset,http://www4.wiwiss.fu-berlin.de/euraxess/,
726,,,d4f0dea1-3bb0-47e5-9a61-b4e84876478c,False,notspecified,License not specified,,Anja Jentzsch,,2012-09-11T22:54:27.832998,2013-10-10T20:59:57.380244,fu-berlin-ec-competition,"Case database of antitrust cases, cartels, mergers, and state aid, maintained by the European Commission. Republished as Linked Data.",2,12,f60b281d-b6cd-422b-8b28-bd1d9dea09a0,False,8693af64-164f-4ffe-a28b-52216cfecbc3,active,European Commission Competition data set (FU Berlin),dataset,http://www4.wiwiss.fu-berlin.de/eccompetition/,
727,Anja Jentzsch,anja@anjeve.de,4479f36e-df58-4c0f-8ae2-521057171cfd,False,,,,Anja Jentzsch,anja@anjeve.de,2010-08-02T14:18:44.547208,2013-10-10T20:59:57.108526,fu-berlin-drugbank,"The Linked Data version of DrugBank which is a repository of almost 5000 FDA-approved small molecule and biotech drugs. It contains detailed information about drugs including chemical, pharmacological and pharmaceutical data; along with comprehensive drug target data such as sequence, structure, and pathway information

links:bio2rdf-kegg 913
links:bio2rdf-symbol 1533",4,9,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,c06a8e2e-3b03-46f3-bad5-d588ba6b37b7,active,DrugBank,dataset,http://www4.wiwiss.fu-berlin.de/drugbank/,
728,Anja Jentzsch,anja@anjeve.de,fa439987-64dc-404c-bc2b-ee5d173f3d62,False,other-nc,Other (Non-Commercial),,Anja Jentzsch,anja@anjeve.de,2010-08-03T11:31:08.638508,2013-10-10T20:59:56.591215,fu-berlin-diseasome,"Linked Data version of Diseasome publishes a network of 4,300 disorders and disease genes linked by known disorder-gene associations for exploring all known phenotype and disease gene associations, indicating the common genetic origin of many diseases. The list of disorders, disease genes, and associations between them was obtained from the Online Mendelian Inheritance in Man (OMIM), a compilation of human disease genes and phenotypes.

OMIM Data Use from http://www.ncbi.nlm.nih.gov/Omim/restrictions.html

Copyright © 1966-2008 Johns Hopkins University.

The OMIM® database including the collective data contained therein is the property of the Johns Hopkins University, which holds the copyright thereto.

The OMIM database is made available to the general public subject to certain restrictions. You may use the OMIM database and data obtained from this site for your personal use, for educational or scholarly use, or for research purposes only. The OMIM database may not be copied, distributed, transmitted, duplicated, reduced or altered in any way for commercial purposes, or for the purpose of redistribution, without a license from the Johns Hopkins University.

Requests for information regarding a license for commercial use or redistribution of the OMIM database may be sent via e-mail to JHTT-Communications@jhmi.edu.


links:bio2rdf-symbol: 9743",4,8,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,aebf3a80-7cb7-49d6-ad43-d96e45a456ed,active,Diseasome,dataset,http://www4.wiwiss.fu-berlin.de/diseasome/,
729,Christian Bizer,chris@bizer.de,8931d317-4e59-47f2-b231-3a53bf4eee35,False,notspecified,License not specified,,,,2010-05-23T17:55:44.508587,2013-10-10T20:59:56.349073,fu-berlin-dblp,"This is an RDF conversion of DBLP. The DBLP database provides bibliographic information on major computer science journals and conference proceedings including the WWW2006. The database contains more than 800.000 articles and 400.000 authors. 

This RDF conversion hasn't been updated since 2007.

Other RDF conversions of DBLP are available as package:l3s-dblp and package:rkb-explorer-dblp",2,8,1a24e0c3-013b-481d-b25c-f36c651315d8,False,784bac43-bad4-4e35-a93c-49ca4eea336e,active,DBLP Bibliography Database in RDF (FU Berlin),dataset,http://www4.wiwiss.fu-berlin.de/dblp/,
730,Anja Jentzsch,anja@anjeve.de,a7cdb3bd-e7f3-4e8b-8363-09ad8f2498a5,False,,,,Anja Jentzsch,anja@anjeve.de,2010-08-02T15:39:04.044142,2013-10-10T20:59:56.128815,fu-berlin-dailymed,"The Linked Data version of DailyMed which is published by the National Library of Medicine, and provides high quality information about marketed drugs. DailyMed provides much information including general background on the chemical structure of the compound and its therapeutic purpose, details on the compound's clinical pharmacology, indication and usage, contraindications, warnings, precautions, adverse reactions, overdosage, and patient counseling.",4,9,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,6d920597-b353-49ea-ae8a-756967ed8a6c,active,DailyMed,dataset,http://www4.wiwiss.fu-berlin.de/dailymed/,
731,Anja Jentzsch,mail@anjajentzsch.de,9df23f7c-f769-4284-8f8a-d21f4f7f6399,False,,,,Anja Jentzsch,mail@anjajentzsch.de,2011-03-25T22:22:58.190830,2013-10-10T20:59:55.163003,fu-berlin-cordis,The Community Research and Development Information Service (CORDIS) contains information on all EU programmes and projects.,2,12,e79ff1a6-ab76-4cb3-9cc1-29b3eabad173,False,e06dc848-33dc-49c6-aac3-356ea842920e,active,Community Research and Development Information Service (CORDIS),dataset,http://www4.wiwiss.fu-berlin.de/cordis/,1.0
732,Google,freebase-discuss@freebase.com,de4874c1-d8a1-44fe-a3d0-3481ecc3dca6,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Shawn Simister,simister@google.com,2007-11-26T09:59:38,2013-10-10T20:58:34.427607,freebase,"### Description

""Freebase is an open database of the world’s information. It is built by the community and for the community—free for anyone to query, contribute to, built applications on top of, or integrate into their websites.""

### Openness: OPEN

  * License: CC-BY for data.  Variety of open source licenses (or PD) for text blurbs & images.
  * Access: API + bulk.<http://www.freebase.com/view/allDomains>
    * bulk: yes. <http://download.freebase.com/>
    * api: yes. <http://www.freebase.com/view/freebase/api>

Triple count and link statistics provided by Freebase contributor Tom Morris

### RDF data and URIs

Freebase has [an RDF service](http://rdf.freebase.com/) that exposes URIs and generates RDF descriptions for all Freebase topics.",7,17,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,5f417097-451b-4ac3-a16b-96c16593330c,active,Freebase,dataset,http://freebase.com/,
733,,,8fca1937-0e92-45e1-aad7-527ef8d89830,False,,,,,,2009-10-27T19:01:47.977422,2013-10-10T20:58:04.102159,fly-ted,"

Data exposed: derived from data published by www.fly-ted.org and provides metadata on images depicting in situ hybridisation in D. melanogaster testes.

Size of dump and data set: size?

Notes: also found in the of SPARQL Endpoints",1,7,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,731ec0cd-8051-447f-87f3-d31db01723c2,active,Fly-TED,dataset,http://code.google.com/p/openflydata/wiki/Flyted,
734,,,1c057ef8-0690-43d5-9b33-570afa2fe422,False,,,,,,2009-10-27T19:01:47.173449,2013-10-10T20:57:27.924923,flyatlas,"

Data exposed: FlyAtlas and Affy D2 probe-to-gene

Size of dump and data set: size?

Notes: also found in the of SPARQL Endpoints",1,8,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,ae4e601a-d2e3-4836-805d-3c483aa3a7af,active,FlyAtlas,dataset,http://code.google.com/p/openflydata/wiki/Flyatlas,
735,Christian Becker,chris@beckr.org,939bda38-6765-4854-bb23-bc28d99772c8,False,other-closed,Other (Not Open),,,,2010-08-25T10:03:30.923946,2013-10-10T20:57:24.911964,flickr-wrappr,"The flickr wrappr extends DBpedia with RDF links to photos posted on flickr. For each of the 1.95 million DBpedia concepts, the wrappr generates a collection of flickr photos that depict the concept. ",1,10,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,cf0dfab0-4044-4feb-8f14-18d91212abb7,active,flickr™ wrappr,dataset,http://www4.wiwiss.fu-berlin.de/flickrwrappr,
736,Juan F. Sequeda,jsequeda@cs.utexas.edu,0083f0c4-5f55-4eac-bcff-7981df79dfdf,False,notspecified,License not specified,,Juan F. Sequeda,jsequeda@cs.utexas.edu,2010-09-08T18:32:46.498754,2013-10-10T20:57:12.443379,fishes-of-texas,"The [Fishes of Texas Project](http://www.fishesoftexas.org) is a multi-year research project that attempts to consolidate, standardize and fully georeference all of the known scientific information on the freshwater fishes of Texas. This package is the Linked Data version of the project's published data.

### Not yet fully available

This dataset is only available from temporary URIs as of September 2010, see example resource links.

A SPARQL endpoint is planned here: [http://data.fishesoftexas.org/sparql](http://data.fishesoftexas.org/sparql)",2,11,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,9c92a4cb-e282-4402-80f2-b4ea94818a9d,active,Fishes of Texas,dataset,http://data.fishesoftexas.org,
737,Osma Suominen,osma.suominen@tkk.fi,1f0756ff-37f6-480f-8270-56c1e783db09,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2011-06-04T08:44:04.567571,2013-10-10T20:56:55.346433,finnish-municipalities,"An RDF vocabulary describing Finnish municipalities and many regional classifications, including 

* Centres for Economic Development, Transport and the Environment
* Provinces
* Regional State Administrative Agencies
* Regions
* Major regions
* Statistical grouping of municipalities
* Employment and economic development centres

The data is based on classifications by Statistics Finland. The format is SKOS-based, but extends SKOS by defining separate classes (subclasses of skos:Concept) for each entity type and similarly uses subproperties of SKOS properties to relate the entities.

Links to DBpedia and Wikipedia are also provided for the municipalities.",2,16,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,5132e1b5-0519-4164-8337-9bd97840c7f1,active,Finnish municipalities and regional classifications,dataset,http://onki.fi/en/browser/overview/kunnat,2011
738,"Sebastian Speiser, Andreas Harth",speiser@kit.edu,45f0d2e9-d160-4a73-b236-215b6f5c95af,False,notspecified,License not specified,,,,2011-07-18T15:36:42.750594,2013-10-10T20:56:09.501650,feedwrapper-lids,Feedwrapper returns SIOC data for newsfeeds in RSS 1.0/2.0 and Atom feeds. Feedwrapper is based on the ROME RSS API. ,1,8,94d03217-717d-41ce-a20c-00e754e94183,False,387829a6-c2d6-43fd-b7a2-6c91aca4d8e6,active,Feed Wrapper,dataset,http://feedwrap.openlids.org/,
739,,,5e0bb91c-4326-457b-93b3-beb1b3d252d5,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2011-07-15T11:51:00.372840,2013-10-10T20:56:07.516200,federal-economic-rdf,"This is an RDF snapshot of the Federal Reserve Bank of St. Louis's FRED2 database, which contains a variety of economic data.",3,9,f4f9f094-3163-4732-85c4-f0cd91c7ef17,False,37920275-77fd-4b6a-a3d8-eb2ac6986d7f,active,Federal Reserve Economic Data RDF,dataset,http://kasabi.com/dataset/federal-reserve-economic-data,
